"","unitid","instnm","semester","quarter","year","yearofsem","after"
"1","100654","ALABAMA A&M UNIVERSITY","1","0",1991,NA,NA
"2","100654","ALABAMA A&M UNIVERSITY","1","0",1992,NA,NA
"3","100654","ALABAMA A & M UNIVERSITY","1","0",1993,NA,NA
"4","100654","ALABAMA A & M UNIVERSITY","1","0",1995,NA,NA
"5","100654","ALABAMA A & M UNIVERSITY","1","0",1996,NA,NA
"6","100654","ALABAMA A & M UNIVERSITY","1","0",1997,NA,NA
"7","100654","ALABAMA A & M UNIVERSITY","1","0",1998,NA,NA
"8","100654","ALABAMA A & M UNIVERSITY","1","0",1999,NA,NA
"9","100654","ALABAMA A & M UNIVERSITY","1","0",2000,NA,NA
"10","100654","ALABAMA A & M UNIVERSITY","1","0",2001,NA,NA
"11","100654","ALABAMA A & M UNIVERSITY","1","0",2002,NA,NA
"12","100654","ALABAMA A & M UNIVERSITY","1","0",2003,NA,NA
"13","100654","ALABAMA A & M UNIVERSITY","1","0",2004,NA,NA
"14","100654","Alabama A & M University","1","0",2005,NA,NA
"15","100654","Alabama A & M University","1","0",2006,NA,NA
"16","100654","Alabama A & M University","1","0",2007,NA,NA
"17","100654","Alabama A & M University","1","0",2008,NA,NA
"18","100654","Alabama A & M University","1","0",2009,NA,NA
"19","100654","Alabama A & M University","1","0",2010,NA,NA
"20","100663","UNIVERSITY OF ALABAMA AT BIRMINGHAM","0","1",1991,2001,0
"21","100663","UNIVERSITY OF ALABAMA AT BIRMINGHAM","0","1",1992,2001,0
"22","100663","UNIVERSITY OF ALABAMA AT BIRMINGHAM","0","1",1993,2001,0
"23","100663","UNIVERSITY OF ALABAMA AT BIRMINGHAM","0","1",1995,2001,0
"24","100663","UNIVERSITY OF ALABAMA AT BIRMINGHAM","0","1",1996,2001,0
"25","100663","UNIVERSITY OF ALABAMA AT BIRMINGHAM","0","1",1997,2001,0
"26","100663","UNIVERSITY OF ALABAMA AT BIRMINGHAM","0","1",1998,2001,0
"27","100663","UNIVERSITY OF ALABAMA AT BIRMINGHAM","0","1",1999,2001,0
"28","100663","UNIVERSITY OF ALABAMA AT BIRMINGHAM","0","1",2000,2001,0
"29","100663","UNIVERSITY OF ALABAMA AT BIRMINGHAM","1","0",2001,2001,1
"30","100663","UNIVERSITY OF ALABAMA AT BIRMINGHAM","1","0",2002,2001,1
"31","100663","UNIVERSITY OF ALABAMA AT BIRMINGHAM","1","0",2003,2001,1
"32","100663","UNIVERSITY OF ALABAMA AT BIRMINGHAM","1","0",2004,2001,1
"33","100663","University of Alabama at Birmingham","1","0",2005,2001,1
"34","100663","University of Alabama at Birmingham","1","0",2006,2001,1
"35","100663","University of Alabama at Birmingham","1","0",2007,2001,1
"36","100663","University of Alabama at Birmingham","1","0",2008,2001,1
"37","100663","University of Alabama at Birmingham","1","0",2009,2001,1
"38","100663","University of Alabama at Birmingham","1","0",2010,2001,1
"39","100751","THE UNIVERSITY OF ALABAMA","1","0",1991,NA,NA
"40","100751","THE UNIVERSITY OF ALABAMA","1","0",1992,NA,NA
"41","100751","THE UNIVERSITY OF ALABAMA","1","0",1993,NA,NA
"42","100751","THE UNIVERSITY OF ALABAMA","1","0",1995,NA,NA
"43","100751","THE UNIVERSITY OF ALABAMA","1","0",1996,NA,NA
"44","100751","THE UNIVERSITY OF ALABAMA","1","0",1997,NA,NA
"45","100751","UNIVERSITY OF ALABAMA","1","0",1998,NA,NA
"46","100751","UNIVERSITY OF ALABAMA","1","0",1999,NA,NA
"47","100751","UNIVERSITY OF ALABAMA","1","0",2000,NA,NA
"48","100751","UNIVERSITY OF ALABAMA","1","0",2001,NA,NA
"49","100751","UNIVERSITY OF ALABAMA","1","0",2002,NA,NA
"50","100751","UNIVERSITY OF ALABAMA","1","0",2003,NA,NA
"51","100751","THE UNIVERSITY OF ALABAMA","1","0",2004,NA,NA
"52","100751","The University of Alabama","1","0",2005,NA,NA
"53","100751","The University of Alabama","1","0",2006,NA,NA
"54","100751","The University of Alabama","1","0",2007,NA,NA
"55","100751","The University of Alabama","1","0",2008,NA,NA
"56","100751","The University of Alabama","1","0",2009,NA,NA
"57","100751","The University of Alabama","1","0",2010,NA,NA
"58","100858","AUBURN UNIVERSITY MAIN CAMPUS","0","1",1991,2000,0
"59","100858","AUBURN UNIVERSITY MAIN CAMPUS","0","1",1992,2000,0
